Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Feelslikemax,Feelslikemin,Feelslike,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Snow,Snowdepth,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Sunrise,SunriseEpoch,Sunset,SunsetEpoch,Moonphase,Conditions,Icon,Stations,Source
2009-01-01,1230742800,31.1,22.1,25.6,34.7,22.1,26.8,22.9,86.5,0.5,,4.17,,,,,13.0,269.4,1009.6,69.6,10.7,,,06:11:33,1230765093,17:41:54,1230806514,0.11,"Rain, Partially cloudy",cloudy,['48900099999'],obs
2009-01-02,1230829200,29.7,22.1,25.3,31.4,22.1,26.0,20.5,76.42,0.0,,0.0,,,,,16.6,107.9,1010.5,65.0,10.8,,,06:11:57,1230851517,17:42:26,1230892946,0.14,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-03,1230915600,28.4,21.1,24.7,30.2,21.1,25.2,20.1,76.12,0.0,,0.0,,,,,11.2,156.3,1011.3,78.3,10.7,,,06:12:20,1230937940,17:42:59,1230979379,0.2,Overcast,cloudy,['48900099999'],obs
2009-01-04,1231002000,29.7,21.1,24.5,32.4,21.1,25.3,20.5,79.16,0.0,,0.0,,,,,9.4,270.6,1010.9,66.7,10.6,,,06:12:42,1231024362,17:43:32,1231065812,0.25,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-05,1231088400,31.1,21.1,25.9,33.8,21.1,27.0,22.0,80.76,0.0,,0.0,,,,,14.8,174.4,1010.1,55.0,7.6,,,06:13:03,1231110783,17:44:05,1231152245,0.31,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-06,1231174800,30.1,21.1,25.4,33.4,21.1,26.6,22.0,82.75,0.0,,0.0,,,,,16.6,237.1,1011.0,57.1,8.9,,,06:13:24,1231197204,17:44:37,1231238677,0.36,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-07,1231261200,32.1,22.1,26.3,35.0,22.1,27.3,21.8,78.68,0.0,,0.0,,,,,16.6,225.3,1012.1,43.3,9.8,,,06:13:44,1231283624,17:45:10,1231325110,0.41,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-08,1231347600,30.4,20.1,25.2,31.9,20.1,25.7,19.9,74.66,0.0,,0.0,,,,,13.0,193.0,1013.4,55.8,10.1,,,06:14:02,1231370042,17:45:43,1231411543,0.45,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-09,1231434000,29.1,18.1,23.2,29.2,18.1,23.4,16.2,66.27,0.0,,0.0,,,,,16.6,189.1,1014.3,44.2,10.7,,,06:14:20,1231456460,17:46:15,1231497975,0.48,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-10,1231520400,29.1,17.1,22.5,28.9,17.1,22.6,15.0,64.06,0.0,,0.0,,,,,14.8,290.0,1013.4,41.3,10.2,,,06:14:37,1231542877,17:46:47,1231584407,0.5,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-11,1231606800,28.1,17.1,22.1,28.9,17.1,22.3,15.8,68.08,0.0,,0.0,,,,,13.0,315.2,1013.6,64.6,8.6,,,06:14:53,1231629293,17:47:19,1231670839,0.5,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-12,1231693200,27.7,19.1,23.2,29.6,19.1,23.4,18.9,77.08,0.0,,0.0,,,,,11.2,263.1,1015.4,78.8,7.8,,,06:15:09,1231715709,17:47:51,1231757271,0.52,Overcast,cloudy,['48900099999'],obs
2009-01-13,1231779600,29.4,19.1,24.0,30.2,19.1,24.1,16.5,65.48,0.0,,0.0,,,,,20.5,186.5,1016.1,51.7,10.1,,,06:15:23,1231802123,17:48:22,1231843702,0.54,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-14,1231866000,29.7,17.1,22.9,28.9,17.1,22.9,14.4,60.62,0.0,,0.0,,,,,14.8,253.0,1016.2,34.2,10.4,,,06:15:36,1231888536,17:48:53,1231930133,0.58,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-15,1231952400,29.4,17.1,23.1,29.2,17.1,23.2,16.1,66.67,0.0,,0.0,,,,,14.8,247.1,1016.0,39.2,10.5,,,06:15:49,1231974949,17:49:24,1232016564,0.62,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-16,1232038800,29.7,18.1,23.8,30.9,18.1,24.1,18.4,73.75,0.0,,0.0,,,,,9.4,227.6,1015.4,43.3,10.0,,,06:16:00,1232061360,17:49:55,1232102995,0.67,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-17,1232125200,31.1,19.4,24.7,31.5,19.4,25.1,19.9,77.36,0.0,,0.0,,,,,18.4,180.6,1014.0,50.0,8.7,,,06:16:10,1232147770,17:50:25,1232189425,0.72,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-18,1232211600,31.9,19.1,24.7,32.0,19.1,24.9,19.0,73.56,0.0,,0.0,,,,,18.4,175.9,1013.2,41.7,10.0,,,06:16:19,1232234179,17:50:55,1232275855,0.77,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-19,1232298000,31.1,19.1,24.8,31.0,19.1,24.9,18.0,69.7,0.0,,0.0,,,,,16.6,148.4,1011.8,35.4,10.3,,,06:16:28,1232320588,17:51:24,1232362284,0.82,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-20,1232384400,32.1,19.1,24.7,32.6,19.1,25.0,18.6,72.43,0.0,,0.0,,,,,20.5,140.0,1011.3,30.0,10.5,,,06:16:35,1232406995,17:51:53,1232448713,0.87,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-21,1232470800,31.2,19.1,25.2,32.0,19.1,25.7,19.9,74.76,0.0,,0.0,,,,,16.6,123.6,1011.6,30.0,10.5,,,06:16:41,1232493401,17:52:22,1232535142,0.91,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-22,1232557200,31.1,21.1,25.9,33.9,21.1,27.2,21.5,78.65,0.0,,0.0,,,,,14.8,247.6,1010.0,40.0,9.5,,,06:16:46,1232579806,17:52:50,1232621570,0.94,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-23,1232643600,30.7,22.1,26.1,34.2,22.1,27.4,22.3,80.98,0.0,,0.0,,,,,14.8,167.3,1010.4,70.4,9.1,,,06:16:51,1232666211,17:53:17,1232707997,0.97,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-24,1232730000,29.6,22.1,25.9,33.5,22.1,27.3,22.1,80.33,0.0,,0.0,,,,,13.0,132.7,1010.9,79.2,10.3,,,06:16:54,1232752614,17:53:44,1232794424,0.99,Overcast,cloudy,['48900099999'],obs
2009-01-25,1232816400,31.1,22.1,25.9,35.6,22.1,27.0,22.1,80.46,0.0,,0.0,,,,,20.5,199.3,1011.3,69.6,9.3,,,06:16:56,1232839016,17:54:10,1232880850,1.0,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-26,1232902800,32.1,20.9,25.0,35.0,20.9,25.8,21.3,81.71,0.0,,0.0,,,,,20.5,128.0,1011.9,49.6,9.8,,,06:16:57,1232925417,17:54:36,1232967276,0.0,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-27,1232989200,32.1,19.1,24.9,32.5,19.1,25.2,19.6,75.69,0.0,,0.0,,,,,20.5,158.1,1011.5,46.7,10.4,,,06:16:57,1233011817,17:55:02,1233053702,0.01,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-28,1233075600,32.7,19.1,24.9,34.2,19.1,25.3,19.2,73.35,0.0,,0.0,,,,,20.5,133.7,1010.8,38.3,10.7,,,06:16:55,1233098215,17:55:26,1233140126,0.02,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-29,1233162000,32.1,18.1,24.9,33.1,18.1,25.4,19.5,74.93,0.0,,0.0,,,,,22.3,235.3,1010.9,33.5,10.8,,,06:16:53,1233184613,17:55:51,1233226551,0.05,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-30,1233248400,32.1,19.1,24.7,32.5,19.1,25.0,19.4,75.25,0.0,,0.0,,,,,16.6,168.4,1010.1,36.5,10.4,,,06:16:50,1233271010,17:56:14,1233312974,0.08,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-01-31,1233334800,31.7,20.1,25.0,32.9,20.1,25.5,20.3,77.82,0.0,,0.0,,,,,20.5,205.0,1010.6,40.0,10.3,,,06:16:46,1233357406,17:56:37,1233399397,0.12,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-02-01,1233421200,32.1,20.1,25.3,32.1,20.1,25.4,18.6,69.69,0.0,,0.0,,,,,18.4,151.4,1012.3,30.0,10.9,,,06:16:40,1233443800,17:56:59,1233485819,0.17,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-02-02,1233507600,31.1,20.1,25.2,32.0,20.1,25.4,18.7,69.84,0.0,,0.0,,,,,13.0,161.6,1011.7,37.5,10.8,,,06:16:34,1233530194,17:57:21,1233572241,0.22,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-02-03,1233594000,32.4,22.1,26.1,34.8,22.1,27.1,21.3,77.09,0.0,,0.0,,,,,14.8,252.5,1011.5,40.0,10.5,,,06:16:27,1233616587,17:57:42,1233658662,0.28,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-02-04,1233680400,31.2,21.1,24.9,34.0,21.1,25.7,21.6,83.26,0.0,,0.0,,,,,18.4,202.9,1011.3,57.5,9.6,,,06:16:18,1233702978,17:58:03,1233745083,0.34,Partially cloudy,partly-cloudy-day,['48900099999'],obs
2009-02-05,1233766800,31.7,22.1,25.5,34.8,22.1,26.4,21.5,79.92,0.0,,0.0,,,,,20.5,178.7,1011.3,48.7,10.4,,,06:16:09,1233789369,17:58:23,1233831503,0.39,Partially cloudy,partly-cloudy-day,['48900099999'],obs
